Name,Handedness,Team,Opponent,Date,RGID
J.P. France,R,HOU,CLE,2023-06-10,4266813,641585,francjp01
Triston McKenzie,R,CLE,HOU,2023-06-10,1452000,663474,mckentr01
Tanner Houck,R,BOS,NYY,2023-06-10,2044741,656557,houckta01
Domingo German,R,NYY,BOS,2023-06-10,22659,593334,germado01
Kyle Hendricks,R,CHC,SFG,2023-06-10,16517,543294,hendrky01
John Brebbia,R,SFG,CHC,2023-06-10,36795,605154,brebbjo01
Bryan Woo,R,SEA,LAA,2023-06-10,4785723,693433,woobr01
Patrick Sandoval,L,LAA,SEA,2023-06-10,1210009,663776,sandopa02
Zac Gallen,R,ARI,DET,2023-06-11,1109352,668678,galleza01
Joey Wentz,L,DET,ARI,2023-06-11,2440928,666214,wentzjo01
Brandon Bielak,R,HOU,CLE,2023-06-11,2039657,656232,bielabr01
Shane Bieber,R,CLE,HOU,2023-06-11,351838,669456,biebesh01
Carlos Carrasco,R,NYM,PIT,2023-06-11,10678,471911,carraca01
Mitch Keller,R,PIT,NYM,2023-06-11,814787,656605,kellemi03
Carlos Hernandez,R,KCR,BAL,2023-06-11,1452081,672578,hernaca04
Mike Mayers,R,BAL,KCR,2023-06-11,35328,,
Trevor Williams,R,WAS,ATL,2023-06-11,35715,592866,willitr01
Bryce Elder,R,ATL,WAS,2023-06-11,3456890,693821,elderbr01
Victor Gonzalez,L,LAD,PHI,2023-06-11,1406062,624647,gonzavi02
Taijuan Walker,R,PHI,LAD,2023-06-11,15266,592836,walketa01
Louie Varland,R,MIN,TOR,2023-06-11,3783412,686973,varlalo01
Kevin Gausman,R,TOR,MIN,2023-06-11,15840,592332,gausmke01
Martin Perez,L,TEX,TBR,2023-06-11,13502,527048,perezma02
Shane McClanahan,L,TBR,TEX,2023-06-11,2039185,663556,mcclash01
Braxton Garrett,L,MIA,CHW,2023-06-11,2039597,666129,garrebr01
Lucas Giolito,R,CHW,MIA,2023-06-11,35242,608337,giolilu01
JP Sears,L,OAK,MIL,2023-06-11,3203908,676664,searsjp01
Freddy Peralta,R,MIL,OAK,2023-06-11,42165,642547,peralfr01
Hunter Greene,R,CIN,STL,2023-06-11,2060921,668881,greenhu01
Adam Wainwright,R,STL,CIN,2023-06-11,13385,425794,wainwad01
Blake Snell,L,SDP,COL,2023-06-11,22658,605483,snellbl01
Dinelson Lamet,R,COL,SDP,2023-06-11,36769,659275,lametdi01
Hayden Wesneski,R,CHC,SFG,2023-06-11,3738273,669713,wesneha01
John Brebbia,R,SFG,CHC,2023-06-11,36795,605154,brebbjo01
Logan Gilbert,R,SEA,LAA,2023-06-11,2039132,669302,gilbelo01
Griffin Canning,R,LAA,SEA,2023-06-11,980775,656288,cannigr01
Brayan Bello,R,BOS,NYY,2023-06-11,3201947,678394,bellobr01
Clarke Schmidt,R,NYY,BOS,2023-06-11,2039028,657376,schmicl01
Charlie Morton,R,ATL,DET,2023-06-12,10985,450203,mortoch02
Tyler Alexander,L,DET,ATL,2023-06-12,1147788,,
Connor Seabold,R,COL,BOS,2023-06-12,2039865,657756,seaboco01
James Paxton,L,BOS,COL,2023-06-12,15267,572020,paxtoja01
Logan Webb,R,SFG,STL,2023-06-12,814868,657277,webblo01
Matthew Liberatore,L,STL,SFG,2023-06-12,2040078,669461,liberma01
Tyler Anderson,L,LAA,TEX,2023-06-12,16126,542881,anderty01
Dane Dunning,R,TEX,LAA,2023-06-12,1451963,641540,dunnida01
Luke Weaver,R,CIN,KCR,2023-06-12,35644,596133,weavelu01
Zack Greinke,R,KCR,CIN,2023-06-12,11175,425844,greinza01
Zach Eflin,R,TBR,OAK,2023-06-12,35145,621107,eflinza01
James Kaprielian,R,OAK,TBR,2023-06-12,814149,621076,kaprija01
Matt Strahm,L,PHI,ARI,2023-06-12,34643,621381,strahma01
Tommy Henry,L,ARI,PHI,2023-06-12,2039352,674072,henryto01
Jesus Luzardo,L,MIA,SEA,2023-06-12,1266776,666200,luzarje01
Bryce Miller,R,SEA,MIA,2023-06-12,4686360,682243,millebr04
Spencer Strider,R,ATL,DET,2023-06-13,3116717,675911,stridsp01
Reese Olson,R,DET,ATL,2023-06-13,4266773,681857,olsonre01
Chris Bassitt,R,TOR,BAL,2023-06-13,17633,605135,bassich01
Dean Kremer,R,BAL,TOR,2023-06-13,1451925,665152,kremede01
Chase Anderson,R,COL,BOS,2023-06-13,16064,502624,anderch01
Kutter Crawford,R,BOS,COL,2023-06-13,3070067,676710,crawfku01
Luis Severino,R,NYY,NYM,2023-06-13,21546,622663,severlu01
Max Scherzer,R,NYM,NYY,2023-06-13,10934,453286,scherma01
Corbin Burnes,R,MIL,MIN,2023-06-13,449732,669203,burneco01
Pablo Lopez,R,MIN,MIL,2023-06-13,42487,641154,lopezpa01
Alex Cobb,R,SFG,STL,2023-06-13,11168,502171,cobbal01
Jack Flaherty,R,STL,SFG,2023-06-13,37542,656427,flaheja01
Luis Ortiz,R,PIT,CHC,2023-06-13,3803321,682847,ortizlu03
Jameson Taillon,R,CHC,PIT,2023-06-13,16116,592791,taillja01
Jaime Barria,R,LAA,TEX,2023-06-13,38005,642545,barrija01
Cody Bradford,L,TEX,LAA,2023-06-13,4742829,674003,bradfco01
Patrick Corbin,L,WAS,HOU,2023-06-13,13434,571578,corbipa01
Hunter Brown,R,HOU,WAS,2023-06-13,3776186,686613,brownhu01
Brandon Williamson,L,CIN,KCR,2023-06-13,2039137,682227,willibr02
Jordan Lyles,R,KCR,CIN,2023-06-13,11285,543475,lylesjo01
Edward Cabrera,R,MIA,SEA,2023-06-13,1452626,665795,cabreed02
George Kirby,R,SEA,MIA,2023-06-13,2039134,669923,kirbyge01
Zack Wheeler,R,PHI,ARI,2023-06-13,15862,554430,wheelza01
Zach Davies,R,ARI,PHI,2023-06-13,22664,605200,davieza02
Tanner Bibee,R,CLE,SDP,2023-06-13,4663938,676440,bibeeta01
Joe Musgrove,R,SDP,CLE,2023-06-13,34672,605397,musgrjo01
Yonny Chirinos,R,TBR,OAK,2023-06-13,38039,,
Hogan Harris,L,OAK,TBR,2023-06-13,4267224,663687,harriho03
Lance Lynn,R,CHW,LAD,2023-06-13,11292,458681,lynnla01
Tony Gonsolin,R,LAD,CHW,2023-06-13,935323,664062,gonsoto01
Spencer Strider,R,ATL,DET,2023-06-14,3116717,675911,stridsp01
Reese Olson,R,DET,ATL,2023-06-14,4266773,,
Colin Rea,R,MIL,MIN,2023-06-14,21810,607067,reaco01
Bailey Ober,R,MIN,MIL,2023-06-14,2441077,641927,oberba01
Anthony DeSclafani,R,SFG,STL,2023-06-14,17708,543101,desclan01
Jordan Montgomery,L,STL,SFG,2023-06-14,36606,656756,montgjo01
AJ Smith-Shawver,R,ATL,DET,2023-06-14,4781778,700363,smithaj01
Reese Olson,R,DET,ATL,2023-06-14,4266773,,
Jose Berrios,R,TOR,BAL,2023-06-14,35029,621244,berrijo01
Kyle Bradish,R,BAL,TOR,2023-06-14,2106116,680694,bradiky01
Austin Gomber,L,COL,BOS,2023-06-14,38021,596295,gombeau01
Garrett Whitlock,R,BOS,COL,2023-06-14,2500210,676477,whitlga01
Gerrit Cole,R,NYY,NYM,2023-06-14,15859,543037,colege01
Justin Verlander,R,NYM,NYY,2023-06-14,10908,434378,verlaju01
Osvaldo Bido,R,PIT,CHC,2023-06-14,4831592,674370,
Drew Smyly,L,CHC,PIT,2023-06-14,13432,592767,smylydr01
Reid Detmers,L,LAA,TEX,2023-06-14,2038930,672282,detmere01
Andrew Heaney,L,TEX,LAA,2023-06-14,17566,571760,heanean01
Josiah Gray,R,WAS,HOU,2023-06-14,2039710,680686,grayjo03
Framber Valdez,L,HOU,WAS,2023-06-14,503797,664285,valdefr01
Ben Lively,R,CIN,KCR,2023-06-14,36232,594902,livelbe01
Daniel Lynch,L,KCR,CIN,2023-06-14,2038876,663738,lynchda02
Eury Perez,R,MIA,SEA,2023-06-14,4727031,691587,perezeu02
Luis Castillo,R,SEA,MIA,2023-06-14,15729,622491,castilu02
Ranger Suarez,L,PHI,ARI,2023-06-14,38029,624133,suarera01
Merrill Kelly,R,ARI,PHI,2023-06-14,16363,518876,kellyme01
Aaron Civale,R,CLE,SDP,2023-06-14,1119021,650644,civalaa01
Michael Wacha,R,SDP,CLE,2023-06-14,15848,608379,wachami01
Tyler Glasnow,R,TBR,OAK,2023-06-14,34679,607192,glasnty01
Luis Medina,R,OAK,TBR,2023-06-14,1452199,665622,medinlu02
Mike Clevinger,R,CHW,LAD,2023-06-14,34646,605182,clevimi01
Clayton Kershaw,L,LAD,CHW,2023-06-14,10905,477132,kershcl01
Yusei Kikuchi,L,TOR,BAL,2023-06-15,814189,579328,kikucyu01
Tyler Wells,R,BAL,TOR,2023-06-15,2500250,669330,wellsty01
Taj Bradley,R,TBR,OAK,2023-06-15,4267539,671737,bradlta01
Paul Blackburn,R,OAK,TBR,2023-06-15,36242,621112,blackpa01
Aaron Nola,R,PHI,ARI,2023-06-15,21538,605400,nolaaa01
Ryne Nelson,R,ARI,PHI,2023-06-15,3776185,669194,nelsory01
Matthew Boyd,L,DET,MIN,2023-06-15,18952,571510,boydma01
Sonny Gray,R,MIN,DET,2023-06-15,14979,543243,grayso01
Kyle Freeland,L,COL,ATL,2023-06-15,36592,607536,freelky01
AJ Smith-Shawver,R,ATL,COL,2023-06-15,4781778,700363,smithaj01
Johan Oviedo,R,PIT,CHC,2023-06-15,2040079,670912,oviedjo01
Marcus Stroman,R,CHC,PIT,2023-06-15,16408,573186,stromma01
Shohei Ohtani,R,LAA,TEX,2023-06-15,41843,660271,ohtansh01
Nathan Eovaldi,R,TEX,LAA,2023-06-15,11440,543135,eovalna01
MacKenzie Gore,L,WAS,HOU,2023-06-15,2039965,669022,gorema01
Cristian Javier,R,HOU,WAS,2023-06-15,1452665,664299,javiecr01
Logan Allen,L,CLE,SDP,2023-06-15,4652998,671106,allenlo02
Ryan Weathers,L,SDP,CLE,2023-06-15,2039967,677960,weathry01
Dylan Cease,R,CHW,LAD,2023-06-15,813864,656302,ceasedy01
Michael Grove,R,LAD,CHW,2023-06-15,2039711,675627,grovemi01
Cole Irvin,L,BAL,CHC,2023-06-16,1016169,608344,irvinco01
Kyle Hendricks,R,CHC,BAL,2023-06-16,16517,543294,hendrky01
Sandy Alcantara,R,MIA,WAS,2023-06-16,37550,645261,alcansa01
Trevor Williams,R,WAS,MIA,2023-06-16,35715,592866,willitr01
Domingo German,R,NYY,BOS,2023-06-16,22659,593334,germado01
Tanner Houck,R,BOS,NYY,2023-06-16,2044741,656557,houckta01
Miles Mikolas,R,STL,NYM,2023-06-16,13737,571945,mikolmi01
Tylor Megill,R,NYM,STL,2023-06-16,2949570,656731,megilty01
Dinelson Lamet,R,COL,ATL,2023-06-16,36769,659275,lametdi01
Jared Shuster,L,ATL,COL,2023-06-16,2039403,694363,shustja01
Kevin Gausman,R,TOR,TEX,2023-06-16,15840,592332,gausmke01
Martin Perez,L,TEX,TOR,2023-06-16,13502,527048,perezma02
Tyler Alexander,L,DET,MIN,2023-06-16,1147788,641302,alexaty01
Joe Ryan,R,MIN,DET,2023-06-16,2039186,657746,ryanjo04
Andrew Abbott,L,CIN,HOU,2023-06-16,4793713,671096,abbotan01
J.P. France,R,HOU,CIN,2023-06-16,4266813,641585,francjp01
Rich Hill,L,PIT,MIL,2023-06-16,11187,448179,hillri01
Julio Teheran,R,MIL,PIT,2023-06-16,11191,527054,teherju01
Patrick Sandoval,L,LAA,KCR,2023-06-16,1210009,663776,sandopa02
Brady Singer,R,KCR,LAA,2023-06-16,2038877,663903,singebr01
Triston McKenzie,R,CLE,ARI,2023-06-16,1452000,663474,mckentr01
Zac Gallen,R,ARI,CLE,2023-06-16,1109352,668678,galleza01
Taijuan Walker,R,PHI,OAK,2023-06-16,15266,592836,walketa01
JP Sears,L,OAK,PHI,2023-06-16,3203908,676664,searsjp01
Shane McClanahan,L,TBR,SDP,2023-06-16,2039185,663556,mcclash01
Yu Darvish,R,SDP,TBR,2023-06-16,13412,506433,darviyu01
John Brebbia,R,SFG,LAD,2023-06-16,36795,605154,brebbjo01
Sean Manaea,L,LAD,SFG,2023-06-16,35031,,
Michael Kopech,R,CHW,SEA,2023-06-16,500626,656629,kopecmi01
Bryan Woo,R,SEA,CHW,2023-06-16,4785723,693433,woobr01
Joey Wentz,L,DET,MIN,2023-06-17,2440928,666214,wentzjo01
Jose De Leon,R,MIN,DET,2023-06-17,35711,592254,deleojo03
Kyle Gibson,R,BAL,CHC,2023-06-17,15867,502043,gibsoky01
Justin Steele,L,CHC,BAL,2023-06-17,814426,657006,steelju01
Trevor Richards,R,TOR,TEX,2023-06-17,203494,670950,richatr01
Dane Dunning,R,TEX,TOR,2023-06-17,1451963,641540,dunnida01
Braxton Garrett,L,MIA,WAS,2023-06-17,2039597,666129,garrebr01
Jake Irvin,R,WAS,MIA,2023-06-17,2040132,663623,irvinja01
Cristopher Sanchez,L,PHI,OAK,2023-06-17,1452820,650911,sanchcr01
James Kaprielian,R,OAK,PHI,2023-06-17,814149,621076,kaprija01
Mitch Keller,R,PIT,MIL,2023-06-17,814787,656605,kellemi03
Wade Miley,L,MIL,PIT,2023-06-17,11462,489119,mileywa01
Hunter Greene,R,CIN,HOU,2023-06-17,2060921,668881,greenhu01
Brandon Bielak,R,HOU,CIN,2023-06-17,2039657,656232,bielabr01
Connor Seabold,R,COL,ATL,2023-06-17,2039865,657756,seaboco01
Bryce Elder,R,ATL,COL,2023-06-17,3456890,693821,elderbr01
Lucas Giolito,R,CHW,SEA,2023-06-17,35242,608337,giolilu01
Logan Gilbert,R,SEA,CHW,2023-06-17,2039132,669302,gilbelo01
Adam Wainwright,R,STL,NYM,2023-06-17,13385,425794,wainwad01
Kodai Senga,R,NYM,STL,2023-06-17,4552262,673540,sengako01
Griffin Canning,R,LAA,KCR,2023-06-17,980775,656288,cannigr01
Mike Mayers,R,KCR,LAA,2023-06-17,35328,594577,mayermi01
Clarke Schmidt,R,NYY,BOS,2023-06-17,2039028,657376,schmicl01
Brayan Bello,R,BOS,NYY,2023-06-17,3201947,678394,bellobr01
Zach Eflin,R,TBR,SDP,2023-06-17,35145,621107,eflinza01
Blake Snell,L,SDP,TBR,2023-06-17,22658,605483,snellbl01
Alex Wood,L,SFG,LAD,2023-06-17,15846,622072,woodal02
Bobby Miller,R,LAD,SFG,2023-06-17,2051949,676272,millebo06
Shane Bieber,R,CLE,ARI,2023-06-17,351838,669456,biebesh01
Tommy Henry,L,ARI,CLE,2023-06-17,2039352,674072,henryto01
Dean Kremer,R,BAL,CHC,2023-06-18,1451925,665152,kremede01
Jameson Taillon,R,CHC,BAL,2023-06-18,16116,592791,taillja01
Clarke Schmidt,R,NYY,BOS,2023-06-18,2039028,657376,schmicl01
Nick Pivetta,R,BOS,NYY,2023-06-18,36234,601713,pivetni01
Chase Anderson,R,COL,ATL,2023-06-18,16064,502624,anderch01
Charlie Morton,R,ATL,COL,2023-06-18,10985,450203,mortoch02
Jesus Luzardo,L,MIA,WAS,2023-06-18,1266776,666200,luzarje01
Patrick Corbin,L,WAS,MIA,2023-06-18,13434,571578,corbipa01
Matthew Liberatore,L,STL,NYM,2023-06-18,2040078,669461,liberma01
Carlos Carrasco,R,NYM,STL,2023-06-18,10678,471911,carraca01
Luke Weaver,R,CIN,HOU,2023-06-18,35644,596133,weavelu01
Ronel Blanco,R,HOU,CIN,2023-06-18,3448186,669854,blancro01
Tyler Anderson,L,LAA,KCR,2023-06-18,16126,542881,anderty01
Zack Greinke,R,KCR,LAA,2023-06-18,11175,425844,greinza01
Luis Ortiz,R,PIT,MIL,2023-06-18,3803321,682847,ortizlu03
Freddy Peralta,R,MIL,PIT,2023-06-18,42165,642547,peralfr01
Garrett Hill,R,DET,MIN,2023-06-18,3596207,,
Louie Varland,R,MIN,DET,2023-06-18,3783412,686973,varlalo01
Chris Bassitt,R,TOR,TEX,2023-06-18,17633,605135,bassich01
Jon Gray,R,TEX,TOR,2023-06-18,17630,592351,grayjo02
Zack Wheeler,R,PHI,OAK,2023-06-18,15862,554430,wheelza01
Hogan Harris,L,OAK,PHI,2023-06-18,4267224,663687,harriho03
Lance Lynn,R,CHW,SEA,2023-06-18,11292,458681,lynnla01
Bryce Miller,R,SEA,CHW,2023-06-18,4686360,682243,millebr04
Tanner Bibee,R,CLE,ARI,2023-06-18,4663938,676440,bibeeta01
Zach Davies,R,ARI,CLE,2023-06-18,22664,605200,davieza02
Yonny Chirinos,R,TBR,SDP,2023-06-18,38039,630023,chiriyo01
Joe Musgrove,R,SDP,TBR,2023-06-18,34672,605397,musgrjo01
Logan Webb,R,SFG,LAD,2023-06-18,814868,657277,webblo01
Tony Gonsolin,R,LAD,SFG,2023-06-18,935323,664062,gonsoto01
Luis Severino,R,NYY,BOS,2023-06-18,21546,622663,severlu01
Brayan Bello,R,BOS,NYY,2023-06-18,3201947,678394,bellobr01
Jack Flaherty,R,STL,WAS,2023-06-19,37542,656427,flaheja01
Josiah Gray,R,WAS,STL,2023-06-19,2039710,680686,grayjo03
Jose Berrios,R,TOR,MIA,2023-06-19,35029,621244,berrijo01
Bryan Hoeing,R,MIA,TOR,2023-06-19,3726614,663773,hoeinbr01
Jordan Lyles,R,KCR,DET,2023-06-19,11285,543475,lylesjo01
Reese Olson,R,DET,KCR,2023-06-19,4266773,681857,olsonre01
Drew Smyly,L,CHC,PIT,2023-06-19,13432,592767,smylydr01
Osvaldo Bido,R,PIT,CHC,2023-06-19,4831592,674370,bidoos01
Austin Gomber,L,COL,CIN,2023-06-19,38021,596295,gombeau01
Brandon Williamson,L,CIN,COL,2023-06-19,2039137,682227,willibr02
James Paxton,L,BOS,MIN,2023-06-19,15267,572020,paxtoja01
Pablo Lopez,R,MIN,BOS,2023-06-19,42487,641154,lopezpa01
Merrill Kelly,R,ARI,MIL,2023-06-19,16363,518876,kellyme01
Corbin Burnes,R,MIL,ARI,2023-06-19,449732,669203,burneco01
Andrew Heaney,L,TEX,CHW,2023-06-19,17566,571760,heanean01
Jesse Scholtens,R,CHW,TEX,2023-06-19,4581633,669947,scholje01
Max Scherzer,R,NYM,HOU,2023-06-19,10934,453286,scherma01
Hunter Brown,R,HOU,NYM,2023-06-19,3776186,686613,brownhu01
Michael Wacha,R,SDP,SFG,2023-06-19,15848,608379,wachami01
Ryan Walker,R,SFG,SDP,2023-06-19,4764548,676254,walkery01
Spencer Strider,R,ATL,PHI,2023-06-20,3116717,675911,stridsp01
Ranger Suarez,L,PHI,ATL,2023-06-20,38029,624133,suarera01
Yusei Kikuchi,L,TOR,MIA,2023-06-20,814189,579328,kikucyu01
Eury Perez,R,MIA,TOR,2023-06-20,4727031,691587,perezeu02
Kyle Bradish,R,BAL,TBR,2023-06-20,2106116,680694,bradiky01
Tyler Glasnow,R,TBR,BAL,2023-06-20,34679,607192,glasnty01
Daniel Lynch,L,KCR,DET,2023-06-20,2038876,663738,lynchda02
Michael Lorenzen,R,DET,KCR,2023-06-20,17488,547179,lorenmi01
George Kirby,R,SEA,NYY,2023-06-20,2039134,669923,kirbyge01
Gerrit Cole,R,NYY,SEA,2023-06-20,15859,543037,colege01
Marcus Stroman,R,CHC,PIT,2023-06-20,16408,573186,stromma01
Johan Oviedo,R,PIT,CHC,2023-06-20,2040079,670912,oviedjo01
Jordan Montgomery,L,STL,WAS,2023-06-20,36606,656756,montgjo01
MacKenzie Gore,L,WAS,STL,2023-06-20,2039965,669022,gorema01
Ken Waldichuk,L,OAK,CLE,2023-06-20,3763400,,
Luis Medina,R,CLE,OAK,2023-06-20,1452199,665622,medinlu02
Noah Davis,R,COL,CIN,2023-06-20,3202640,663562,davisno01
Ben Lively,R,CIN,COL,2023-06-20,36232,594902,livelbe01
Kutter Crawford,R,BOS,MIN,2023-06-20,3070067,676710,crawfku01
Bailey Ober,R,MIN,BOS,2023-06-20,2441077,641927,oberba01
Ryne Nelson,R,ARI,MIL,2023-06-20,3776185,669194,nelsory01
Colin Rea,R,MIL,ARI,2023-06-20,21810,607067,reaco01
Nathan Eovaldi,R,TEX,CHW,2023-06-20,11440,543135,eovalna01
Dylan Cease,R,CHW,TEX,2023-06-20,813864,656302,ceasedy01
Justin Verlander,R,NYM,HOU,2023-06-20,10908,434378,verlaju01
Framber Valdez,L,HOU,NYM,2023-06-20,503797,664285,valdefr01
Seth Lugo,R,SDP,SFG,2023-06-20,34718,607625,lugose01
Anthony DeSclafani,R,SFG,SDP,2023-06-20,17708,543101,desclan01
Clayton Kershaw,L,LAD,LAA,2023-06-20,10905,477132,kershcl01
Reid Detmers,L,LAA,LAD,2023-06-20,2038930,672282,detmere01
Kevin Gausman,R,TOR,MIA,2023-06-21,15840,592332,gausmke01
Sandy Alcantara,R,MIA,TOR,2023-06-21,37550,645261,alcansa01
Tyler Wells,R,BAL,TBR,2023-06-21,2500250,669330,wellsty01
Taj Bradley,R,TBR,BAL,2023-06-21,4267539,671737,bradlta01
Connor Seabold,R,COL,CIN,2023-06-21,2039865,657756,seaboco01
Andrew Abbott,L,CIN,COL,2023-06-21,4793713,671096,abbotan01
Kyle Hendricks,R,CHC,PIT,2023-06-21,16517,543294,hendrky01
Rich Hill,L,PIT,CHC,2023-06-21,11187,448179,hillri01
Brady Singer,R,KCR,DET,2023-06-21,2038877,663903,singebr01
Matthew Boyd,L,DET,KCR,2023-06-21,18952,571510,boydma01
Tylor Megill,R,NYM,HOU,2023-06-21,2949570,656731,megilty01
Cristian Javier,R,HOU,NYM,2023-06-21,1452665,664299,javiecr01
Zac Gallen,R,ARI,MIL,2023-06-21,1109352,668678,galleza01
Julio Teheran,R,MIL,ARI,2023-06-21,11191,527054,teherju01
Miles Mikolas,R,STL,WAS,2023-06-21,13737,571945,mikolmi01
Trevor Williams,R,WAS,STL,2023-06-21,35715,592866,willitr01
AJ Smith-Shawver,R,ATL,PHI,2023-06-21,4781778,700363,smithaj01
Aaron Nola,R,PHI,ATL,2023-06-21,21538,605400,nolaaa01
Luis Castillo,R,SEA,NYY,2023-06-21,15729,622491,castilu02
Jhony Brito,R,NYY,SEA,2023-06-21,4061565,666745,britojh01
Paul Blackburn,R,OAK,CLE,2023-06-21,36242,621112,blackpa01
Gavin Williams,R,CLE,OAK,2023-06-21,4860673,668909,
Garrett Whitlock,R,BOS,MIN,2023-06-21,2500210,676477,whitlga01
Sonny Gray,R,MIN,BOS,2023-06-21,14979,543243,grayso01
Martin Perez,L,TEX,CHW,2023-06-21,13502,527048,perezma02
Michael Kopech,R,CHW,TEX,2023-06-21,500626,656629,kopecmi01
Michael Grove,R,LAD,LAA,2023-06-21,2039711,675627,grovemi01
Shohei Ohtani,R,LAA,LAD,2023-06-21,41843,660271,ohtansh01
Yu Darvish,R,SDP,SFG,2023-06-21,13412,506433,darviyu01
Ryan Walker,R,SFG,SDP,2023-06-21,4764548,676254,walkery01
Bryce Elder,R,ATL,PHI,2023-06-22,3456890,693821,elderbr01
Aaron Nola,R,PHI,ATL,2023-06-22,21538,605400,nolaaa01
Tommy Henry,L,ARI,WAS,2023-06-22,2039352,674072,henryto01
Jake Irvin,R,WAS,ARI,2023-06-22,2040132,663623,irvinja01
JP Sears,L,OAK,CLE,2023-06-22,3203908,676664,searsjp01
Logan Allen,L,CLE,OAK,2023-06-22,4652998,671106,allenlo02
Justin Garza,R,BOS,MIN,2023-06-22,2950435,621057,garzaju01
Brandon Walter,L,MIN,BOS,2023-06-22,4061014,,
Blake Snell,L,SDP,SFG,2023-06-22,22658,605483,snellbl01
Alex Wood,L,SFG,SDP,2023-06-22,15846,622072,woodal02
Jose Cuas,R,KCR,TBR,2023-06-22,3538364,621016,cuasjo01
Shane McClanahan,L,TBR,KCR,2023-06-22,2039185,663556,mcclash01
Mitch Keller,R,PIT,MIA,2023-06-22,814787,656605,kellemi03
Braxton Garrett,L,MIA,PIT,2023-06-22,2039597,666129,garrebr01
Bryan Woo,R,SEA,NYY,2023-06-22,4785723,693433,woobr01
Domingo German,R,NYY,SEA,2023-06-22,22659,593334,germado01
Zack Greinke,R,KCR,TBR,2023-06-23,11175,425844,greinza01
Zach Eflin,R,TBR,KCR,2023-06-23,35145,621107,eflinza01
Kenta Maeda,R,MIN,DET,2023-06-23,34693,628317,maedake01
Joey Wentz,L,DET,MIN,2023-06-23,2440928,666214,wentzjo01
AJ Smith-Shawver,R,ATL,CIN,2023-06-23,4781778,700363,smithaj01
Luke Weaver,R,CIN,ATL,2023-06-23,35644,596133,weavelu01
Luis Ortiz,R,PIT,MIA,2023-06-23,3803321,682847,ortizlu03
Jesus Luzardo,L,MIA,PIT,2023-06-23,1266776,666200,luzarje01
Logan Gilbert,R,SEA,BAL,2023-06-23,2039132,669302,gilbelo01
Kyle Gibson,R,BAL,SEA,2023-06-23,15867,502043,gibsoky01
Dane Dunning,R,TEX,NYY,2023-06-23,1451963,641540,dunnida01
Clarke Schmidt,R,NYY,TEX,2023-06-23,2039028,657376,schmicl01
Kodai Senga,R,NYM,PHI,2023-06-23,4552262,673540,sengako01
Taijuan Walker,R,PHI,NYM,2023-06-23,15266,592836,walketa01
James Kaprielian,R,OAK,TOR,2023-06-23,814149,621076,kaprija01
Chris Bassitt,R,TOR,OAK,2023-06-23,17633,605135,bassich01
Wade Miley,L,MIL,CLE,2023-06-23,11462,489119,mileywa01
Shane Bieber,R,CLE,MIL,2023-06-23,351838,669456,biebesh01
Brayan Bello,R,BOS,CHW,2023-06-23,3201947,678394,bellobr01
Lucas Giolito,R,CHW,BOS,2023-06-23,35242,608337,giolilu01
Patrick Sandoval,L,LAA,COL,2023-06-23,1210009,663776,sandopa02
Kyle Freeland,L,COL,LAA,2023-06-23,36592,607536,freelky01
Patrick Corbin,L,WAS,SDP,2023-06-23,13434,571578,corbipa01
Joe Musgrove,R,SDP,WAS,2023-06-23,34672,605397,musgrjo01
J.P. France,R,HOU,LAD,2023-06-23,4266813,641585,francjp01
Emmet Sheehan,R,LAD,HOU,2023-06-23,4843650,686218,sheehem01
Zach Davies,R,ARI,SFG,2023-06-23,22664,605200,davieza02
Logan Webb,R,SFG,ARI,2023-06-23,814868,657277,webblo01
Justin Steele,L,CHC,STL,2023-06-24,814426,657006,steelju01
Adam Wainwright,R,STL,CHC,2023-06-24,13385,425794,wainwad01
Jon Gray,R,TEX,NYY,2023-06-24,17630,592351,grayjo02
Luis Severino,R,NYY,TEX,2023-06-24,21546,622663,severlu01
Bryce Miller,R,SEA,BAL,2023-06-24,4686360,682243,millebr04
Dean Kremer,R,BAL,SEA,2023-06-24,1451925,665152,kremede01
Max Scherzer,R,NYM,PHI,2023-06-24,10934,453286,scherma01
Cristopher Sanchez,L,PHI,NYM,2023-06-24,1452820,650911,sanchcr01
Merrill Kelly,R,ARI,SFG,2023-06-24,16363,518876,kellyme01
Ryan Walker,R,SFG,ARI,2023-06-24,4764548,676254,walkery01
Hogan Harris,L,OAK,TOR,2023-06-24,4267224,663687,harriho03
Jose Berrios,R,TOR,OAK,2023-06-24,35029,621244,berrijo01
Freddy Peralta,R,MIL,CLE,2023-06-24,42165,642547,peralfr01
Tanner Bibee,R,CLE,MIL,2023-06-24,4663938,676440,bibeeta01
James Paxton,L,BOS,CHW,2023-06-24,15267,572020,paxtoja01
Lance Lynn,R,CHW,BOS,2023-06-24,11292,458681,lynnla01
Jordan Lyles,R,KCR,TBR,2023-06-24,11285,543475,lylesjo01
Yonny Chirinos,R,TBR,KCR,2023-06-24,38039,630023,chiriyo01
Osvaldo Bido,R,PIT,MIA,2023-06-24,4831592,674370,bidoos01
Bryan Hoeing,R,MIA,PIT,2023-06-24,3726614,663773,hoeinbr01
Jared Shuster,L,ATL,CIN,2023-06-24,2039403,694363,shustja01
Graham Ashcraft,R,CIN,ATL,2023-06-24,3522094,668933,ashcrgr01
